Genres,Title,Artists,Quality,Transpose,Link,,,,,
"Pop, Eurodisco, 70s",Dancing Queen,ABBA,,,https://www.sheetmusicdirect.com/en-US/se/ID_No/30409/Product.aspx,,,,,
"Pop rock, 70s",Logical Song,Supertramp,,,https://www.sheetmusicdirect.com/en-US/se/ID_No/19578/Product.aspx,,,,,
"Rock, 70s",Hotel California,Eagles,,,https://www.sheetmusicdirect.com/en-US/se/ID_No/80404/Product.aspx,,,,,
"Rock, Alternative rock, 2000s",Sparks,Coldplay,,,https://www.sheetmusicdirect.com/en-US/se/ID_No/403203/Product.aspx,,,,,
"Pop rock, 2000s",Boston,Augustana,,,https://www.sheetmusicdirect.com/en-US/se/ID_No/57084/Product.aspx,,,,,
Pop,Easy On Me,Adele Adkins,,,https://www.sheetmusicdirect.com/en-US/se/ID_No/514612/Product.aspx,,,,,
"Rock, 2000s",My Immortal,Evanescence,,,https://www.sheetmusicdirect.com/en-US/se/ID_No/32998/Product.aspx,,,,,
"Rock, Soft rock, 70s",Dreams,Fleetwood Mac,,,https://www.sheetmusicdirect.com/en-US/se/ID_No/30933/Product.aspx,,,,,
"Rock, Hard rock, 80s",Guns N' Roses,Sweet Child o' Mine,★★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/76201/Product.aspx,,,,,
"Rock, Folk rock, Gospel, 70s",Knockin' On Heaven's Door,Bob Dylan,★★★★,-1,https://www.sheetmusicdirect.com/en-US/se/ID_No/33378/Product.aspx,,,,,70s
"Rock, Hard rock, 80s",What About Love?,Heart,,0,https://www.sheetmusicdirect.com/en-US/se/ID_No/30721/Product.aspx,,,,,
"Rock, Pop rock, Alternative rock, 90s",What's Up?,4 Non Blondes,★★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/18178/Product.aspx,,,,,90s
"R&B, Pop, Soul, Gospel",One Moment In Time,Whitney Houston,★★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/92007/Product.aspx,,,,,Gospel
Pop,Say Something,"A Great Big World, Christina Aguilera",,,https://www.sheetmucsicdirect.com/en-US/se/ID_No/151262/Product.aspx,,,,,
Musical‎,Till There Was You (The Music Man),Meredith Willson,★★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/55233/Product.aspx,,,,,
Musical‎,Unexpected Song (from Song & Dance),,,,https://www.sheetmusicdirect.com/en-US/se/ID_No/29872/Product.aspx,,,,,
"Rock, Alternative rock, 90s",Drive,Incubus,,,https://www.sheetmusicdirect.com/en-US/se/ID_No/18035/Product.aspx,,,,,
"Rock, Indie rock, Folk rock",Cold Little Heart,Michael Kiwanuka,★★★★★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/406539/Product.aspx,,,,,
Musical‎,Someone Like You (From Jekyll & Hyde),Frank Wildhorn,★★★★★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/16618/Product.aspx,,,,,
Musical‎,This Is The Moment (From Jekyll & Hyde),Frank Wildhorn,★★★★★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/32668/Product.aspx,,,,,
Musical‎,Shadowland (from The Lion King),,,,https://www.sheetmusicdirect.com/en-US/se/ID_No/175798/Product.aspx,,,,,
Pop,Someone Like You,"Adele Adkins, Dan Wilson",,,https://www.sheetmusicdirect.com/en-US/se/ID_No/84082/Product.aspx,,,,,
"Pop, Synthpop, New wave, 80s",Running Up That Hill (A Deal with God),Kate Bush,,,https://www.sheetmusicdirect.com/en-US/se/ID_No/1139866/Product.aspx,,,,,80s
"Pop, 70s",Thank You for the Music,ABBA,,,https://www.sheetmusicdirect.com/en-US/se/ID_No/51028/Product.aspx,,,,,
60s,Here Comes the Sun,The Beatles,,,https://www.sheetmusicdirect.com/en-US/se/ID_No/13667/Product.aspx,,,,,
,Tonight I Celebrate My Love,"Peabo Bryson, Roberta Flack",,,https://www.sheetmusicdirect.com/en-US/se/ID_No/22064/Product.aspx,,,,,
90s,Say My Name,Destiny's Child,,,https://www.sheetmusicdirect.com/en-US/se/ID_No/64549/Product.aspx,,,,,
,Let Go,Frou Frou,★★★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/51038/Product.aspx,,,,,
,Shadow,Lady Gaga,★★★★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/403041/Product.aspx,,,,,
,As It Was,Harry Styles,,,https://www.sheetmusicdirect.com/en-US/se/ID_No/859565/Product.aspx,,,,,
,"Take Me Home, Country Roads",John Denver,,,https://www.sheetmusicdirect.com/en-US/se/ID_No/29318/Product.aspx,,,,,
,Mad World,Gary Jules,,,https://www.sheetmusicdirect.com/en-US/se/ID_No/26081/Product.aspx,,,,,
,Wonderwall,Oasis,★★★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/22855/Product.aspx,,,,,
,Lucky,Jason Mraz,★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/70065/Product.aspx,,,,,
,Mr. Curiosity,Jason Mraz,★★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/54403/Product.aspx,,,,,
,Plane,Jason Mraz,★★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/54350/Product.aspx,,,,,
,Love For A Child,Jason Mraz,★★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/73919/Product.aspx,,,,,
,Hard To Say Goodbye To Yesterday,Jason Mraz,★★★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/155105/Product.aspx,,,,,
,Princess of China,Coldplay,,,https://www.sheetmusicdirect.com/en-US/se/ID_No/409496/Product.aspx,,,,,
80s,Eye in the Sky,Alan Parsons Project,★★★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/23477/Product.aspx,,,,,
70s,Strange Magic,Electric Light Orchestra,★★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/23477/Product.aspx,,,,,
,It's All Coming Back to Me Now,Jim Steinman,★★★★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/33592/Product.aspx,,,,,
,Life on Mars?,David Bowie,★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/38610/Product.aspx,,,,,
,Come Sail Away,Styx,,,https://www.sheetmusicdirect.com/en-US/se/ID_No/19908/Product.aspx,,,,,
,Up Where We Belong,Joe Crocker,★★★★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/26230/Product.aspx,,,,,
60s,With a Little Help from My Friends,Joe Crocker,,,https://www.sheetmusicdirect.com/en-US/se/ID_No/25870/Product.aspx,,,,,
70s,Goodbye Yellow Brick Road,Elton John,,,https://www.sheetmusicdirect.com/en-US/se/ID_No/28684/Product.aspx,,,,,
70s,Mr. Blue Sky,Electric Light Orchestra,,,https://www.sheetmusicdirect.com/en-US/se/ID_No/62966/Product.aspx,,,,,
,Show Me the Way,Styx,★★★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/65339/Product.aspx,,,,,
,(Where Do I Begin?) Love Story,Francis Lai,★★★★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/16404/Product.aspx,,,,,
,Desperado,The Eagles,★★★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/92027/Product.aspx,,,,,
,Hello,Lionel Richie,★★★★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/50189/Product.aspx,,,,,
,And So It Goes,Billy Joel,,,https://www.sheetmusicdirect.com/en-US/se/ID_No/56313/Product.aspx,,,,,
,Jolene,Dolly Parton,,,https://www.sheetmusicdirect.com/en-US/se/ID_No/67584/Product.aspx,,,,,
,The Closer I Get to You,Roberta Flack,★★★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/54025/Product.aspx,,,,,
,I Wanna Dance With Somebody,Whitney Houston,,,https://www.sheetmusicdirect.com/en-US/se/ID_No/19507/Product.aspx,,,,,
,I Got You Babe,Sonny & Cher,,,https://www.sheetmusicdirect.com/en-US/se/ID_No/94372/Product.aspx,,,,,
Jazz,Lullaby of Birdland,George Shearing,★★★★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/18890/Product.aspx,,,,,
,Sweet Love,Anita Baker,★★★★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/94726/Product.aspx,,,,,
,Waiting for a Girl Like You,Foreigner,★★★★,+1,https://www.sheetmusicdirect.com/en-US/se/ID_No/85917/Product.aspx,,,,,
,The Best of Times,Styx,,,https://www.sheetmusicdirect.com/en-US/se/ID_No/65338/Product.aspxx,,,,,
,My All,Mariah Carey,★★★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/63670/Product.aspx,,,,,
,Save the Best for Last,Vanessa Williams,★★ needs practice,0,https://www.sheetmusicdirect.com/en-US/se/ID_No/50802/Product.aspxx,,,,,
"Rock, 90s",Cryin',Aerosmith,,,https://www.sheetmusicdirect.com/en-US/se/ID_No/16352/Product.aspx,,,,,
,Easy,Commodores,★★ needs practice,,https://www.sheetmusicdirect.com/en-US/se/ID_No/22261/Product.aspx,,,,,
,You Are So Beautiful,Joe Cocker,★ needs practice,,https://www.sheetmusicdirect.com/en-US/se/ID_No/24963/Product.aspx,,,,,
,To Where You Are,Josh Groban,★★★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/78714/Product.aspx,,,,,
Musical‎,Empty Chairs at Empty Tables (Les Misérables),Michael Ball,★★★★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/29260/Product.aspx,,,,,
Musical‎,I Dreamed A Dream (Les Misérables),Michael Ball,★★★★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/38791/Product.aspx,,,,,
"Pop, ‎Musical‎",Come What May (Moulin Rouge),"David Baerwald, ‎Kevin Gilbert‎",★★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/40416/Product.aspx,,,,,
,Me and My Shadow,Frank Sinatra,★★★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/94275/Product.aspxx,,,,,
,The Shadow of Your Smile,Andy Williams,★★★★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/435150/Product.aspx,,,,,
,Charmaine,"Ernö Rapée, Lew Pollack",★★★★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/158543/Product.aspx,,,,,
,Moon River,Henry Mancini,★★★★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/16411/Product.aspx,,,,,
,It's Been Awhile,Staind,,,https://www.sheetmusicdirect.com/en-US/se/ID_No/91898/Product.aspx,,,,,
,Iris,Goo Goo Dolls,,,https://www.sheetmusicdirect.com/en-US/se/ID_No/18210/Product.aspx,,,,,
,Don't Look Back in Anger,Oasis,,,https://www.sheetmusicdirect.com/en-US/se/ID_No/13648/Product.aspx,,,,,
,Don't Let the Sun Go Down on Me,"Elton John, George Michael",,,https://www.sheetmusicdirect.com/en-US/se/ID_No/18072/Product.aspx,,,,,
,When You Were Young,The Killers,,,https://www.sheetmusicdirect.com/en-US/se/ID_No/56367/Product.aspx,,,,,
90s,Say It Ain't So,Weezer,,,https://www.sheetmusicdirect.com/en-US/se/ID_No/63820/Product.aspx,,,,,
,Knights of Cydonia,MUSE,,,https://www.sheetmusicdirect.com/en-US/se/ID_No/158781/Product.aspx,,,,,
,Havana,Camila Cabello,,,https://www.sheetmusicdirect.com/en-US/se/ID_No/187744/Product.aspx,,,,,
,"Sugar, We’re Goin Down",Fall Out Boy,,,https://www.sheetmusicdirect.com/en-US/se/ID_No/157363/Product.aspx,,,,,
,High Hopes,Panic! At the Disco,,,https://www.sheetmusicdirect.com/en-US/se/ID_No/402956/Product.aspx,,,,,
,I Will Follow You Into the Dark,Death Cab for Cutie,,,,,,,,
,Come Home,OneRepublic,,,https://www.sheetmusicdirect.com/en-US/se/ID_No/64965/Product.aspx,,,,,
,Hot Stuff,Donna Summer,,,https://www.sheetmusicdirect.com/en-US/se/ID_No/57433/Product.aspx,,,,,
,No More Drama,Mary J. Blige,★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/19283/Product.aspx,,,,,
,Wake Me Up When September Ends,Green Day,,,https://www.sheetmusicdirect.com/en-US/se/ID_No/94037/Product.aspx,,,,,
,Songs from a Secret Garden,,★★★★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/252322/Product.aspx,,,,,
,Lovers Waltz,David Lanz,needs practice,,https://www.sheetmusicdirect.com/en-US/se/ID_No/482921/Product.aspx,,,,,
,Such Great Heights,The Postal Service,★,,PDF,,,,,
,Sonata In C Major,Mozart,,,https://www.sheetmusicdirect.com/en-US/se/ID_No/21560/Product.aspx,,,,,
,Metamorphosis: Two,Philip Glass,,,https://www.sheetmusicdirect.com/en-US/se/ID_No/118878/Product.aspx,,,,,
,Don't Stop Believin',Journey,,,https://www.sheetmusicdirect.com/en-US/se/ID_No/75782/Product.aspx,,,,,
,Only Hope,Mandy Moore,,,https://www.sheetmusicdirect.com/en-US/se/ID_No/19796/Product.aspx,,,,,
,Boulevard of Broken Dreams,Green Day,★★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/94658/Product.aspxx,,,,,
,I Knew I Loved You,Savage Garden,,,https://www.sheetmusicdirect.com/en-US/se/ID_No/157016/Product.aspx,,,,,
,Our House,Graham Nash,,,https://www.sheetmusicdirect.com/en-US/se/ID_No/18301/Product.aspx,,,,,
70s,Black Water,The Doobie Brothers,,0,https://www.sheetmusicdirect.com/en-US/se/ID_No/92248/Product.aspx,,,,,
70s,Crazy on You,Heart,,,https://www.sheetmusicdirect.com/en-US/se/ID_No/26398/Product.aspx,,,,,
,Old Love,Eric Clapton,,0,https://www.sheetmusicdirect.com/en-US/se/ID_No/254180/Product.aspx,,,,,
"R&B, 90s",One Sweet Day,"Mariah Carey, Boyz II Men",,,https://www.sheetmusicdirect.com/en-US/se/ID_No/16293/Product.aspx,,,,,
,All by Myself,Eric Carmen,★★★★,0,https://www.sheetmusicdirect.com/en-US/se/ID_No/33535/Product.aspx,,,,,
,All of Me,John Legend,,,https://www.sheetmusicdirect.com/en-US/se/ID_No/117530/Product.aspx,,,,,
,These Eyes,Guess Who,,,https://www.sheetmusicdirect.com/en-US/se/ID_No/87693/Product.aspx,,,,,
,Peaches,Justin Bieber,,,https://www.sheetmusicdirect.com/en-US/se/ID_No/485205/Product.aspx,,,,,
80s,The Way It Is,Bruce Hornsby,,0,https://www.sheetmusicdirect.com/en-US/se/ID_No/74551/Product.aspx,,,,,
,Foolish Heart,Steve Perry,,-1,https://www.sheetmusicdirect.com/en-US/se/ID_No/53695/Product.aspx,,,,,
,The Boys of Summer,Don Henley,★★★★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/94838/Product.aspx,,,,,
,A Christmas Song,Nat King Cole,,,https://www.sheetmusicdirect.com/en-US/se/ID_No/85778/Product.aspx,,,,,
,Witchy Woman,The Eagles,,,https://www.sheetmusicdirect.com/en-US/se/ID_No/96204/Product.aspx,,,,,
,Beast of Burden,The Rolling Stones,,,https://www.sheetmusicdirect.com/en-US/se/ID_No/16606/Product.aspx,,,,,
,Santeria,Sublime,9,,https://www.sheetmusicdirect.com/en-US/se/ID_No/155264/Product.aspx,,,,,
,Buddy Holly,Weezer,,,https://www.sheetmusicdirect.com/en-US/se/ID_No/16742/Product.aspx,,,,,
,Island in the Sun,Weezer,,,https://www.sheetmusicdirect.com/en-US/se/ID_No/151165/Product.aspx,,,,,
,Heart of Glass,Blondie,,,https://www.sheetmusicdirect.com/en-US/se/ID_No/30073/Product.aspx,,,,,
,Trouble,Coldplay,,,https://www.sheetmusicdirect.com/en-US/se/ID_No/15905/Product.aspx,,,,,
,Strawberry Fields,The Beatles,,,https://www.sheetmusicdirect.com/en-US/se/ID_No/25867/Product.aspx,,,,,
,Cold Heart,"Elton John, PNAU",★★★,-1,https://www.sheetmusicdirect.com/en-US/se/ID_No/501480/Product.aspx,,,,,
,Creep,Radiohead,,,https://www.sheetmusicdirect.com/en-US/se/ID_No/24567/Product.aspx,,,,,
,Somewhere Only We Know,Keane,,0,https://www.sheetmusicdirect.com/en-US/se/ID_No/50160/Product.aspx,,,,,
,Yellow,Coldplay,★★★ needs practice,+2,https://www.sheetmusicdirect.com/en-US/se/ID_No/24125/Product.aspx,,,,,
,How Deep Is Your Love,Bee Gees,★★★,0,https://www.sheetmusicdirect.com/en-US/se/ID_No/13670/Product.aspx,,,,,
,Lights,Journey,,0,https://www.sheetmusicdirect.com/en-US/se/ID_No/25082/Product.aspx,,,,,
,,Journey,,0,https://www.sheetmusicdirect.com/en-US/se/ID_No/56924/Product.aspx,,,,,
,"Thank U, Next",Ariana Grande,★★★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/405381/Product.aspx,,,,,
,Positions,Ariana Grande,★★★★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/471655/Product.aspx,,,,,
,Lullabye (Goodnight My Angel),Billy Joel,★★ needs practice,,https://www.sheetmusicdirect.com/en-US/se/ID_No/18283/Product.aspx,,,,,
,What About Us,Pink,,,https://www.sheetmusicdirect.com/en-US/se/ID_No/187743/Product.aspx,,,,,
,Beyond the Sea,"Charles Trenet, Albert Lasry",,,https://www.sheetmusicdirect.com/en-US/se/ID_No/43632/Product.aspx,,,,,
,Hurt,Christina Aguilera,,,https://www.sheetmusicdirect.com/en-US/se/ID_No/56469/Product.aspx,,,,,
,7 Rings,Ariana Grande,,,https://www.sheetmusicdirect.com/en-US/se/ID_No/408704/Product.aspx,,,,,
,Kids,MGMT,,,https://www.sheetmusicdirect.com/en-US/se/ID_No/43625/Product.aspx,,,,,
,goodnight n go,Ariana Grande,,0,https://www.sheetmusicdirect.com/en-US/se/ID_No/406838/Product.aspx,,,,,
,Smooth Operator,Sade,,0,https://www.sheetmusicdirect.com/en-US/se/ID_No/29451/Product.aspx,,,,,
,The Sweet Escape,Gwen Stefani,,,https://www.sheetmusicdirect.com/en-US/se/ID_No/59625/Product.aspx,,,,,
,The Sweet Escape,Janet Jackson,,,https://www.sheetmusicdirect.com/en-US/se/ID_No/101072/Product.aspx,,,,,
,Lost & Found,Lianne La Havas,,0,https://www.sheetmusicdirect.com/en-US/se/ID_No/114067/Product.aspx,,,,,
,Do You Realize,Rihanna,,,https://www.sheetmusicdirect.com/en-US/se/ID_No/153478/Product.aspx,,,,,
R&B,Stay,,,,https://www.sheetmusicdirect.com/en-US/se/ID_No/115689/Product.aspx,,,,,
,Trembling Hands,Temper Trap,★★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/92146/Product.aspx,,,,,
Country,Cold,Chris Stapleton,★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/469688/Product.aspx,,,,,
,What's Love Got to Do with It?,Tina Turner,,,https://www.sheetmusicdirect.com/en-US/se/ID_No/52493/Product.aspx,,,,,
,She,Harry Styles,★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/446313/Product.aspx,,,,,
,Genius,LSD,,,https://www.sheetmusicdirect.com/en-US/se/ID_No/252678/Product.aspx,,,,,
Jazz,Crazy She Calls Me,Carl Sigman,★★★★,,https://www.scribd.com/read/269679525/Jazz-Ballads-Jazz-Piano-Solos-Series-Volume-10,,,,,
,The Best Of Times,Styx,,,,,,,,
,Babe,Styx,★★★★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/65337/Product.aspx,,,,,
,Here Without You,3 Doors Down,★★,-1,https://www.sheetmusicdirect.com/en-US/se/ID_No/29174/Product.aspx,,,,,
,Thnks fr th Mmrs,Fall Out Boy,,-1,https://www.sheetmusicdirect.com/en-US/se/ID_No/58874/Product.aspx,,,,,
,Somebody Told Me,The Killers,,-1,https://www.sheetmusicdirect.com/en-US/se/ID_No/30350/Product.aspx,,,,,
,Isn’t It Strange,Celeste,★★★★,0,https://www.sheetmusicdirect.com/en-US/se/ID_No/443220/Product.aspx,,,,,
,As the World Caves In,Sarah Cothran,★★★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/488993/Product.aspx,,,,,
,Right Here Waiting For You,Richard Marx,★★,0,https://www.sheetmusicdirect.com/en-US/se/ID_No/77608/Product.aspx,,,,,
,Bridge Over Troubled Water,Simon And Garfunkle,★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/79896/Product.aspx,,,,,
,Year Of The Cat,Al Stewart,★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/32219/Product.aspx,,,,,
Musical,Wig In A Box,Stephen Trask,★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/28212/Product.aspx,,,,,
Musical,Midnight Radio,Stephen Trask,,,https://www.sheetmusicdirect.com/en-US/se/ID_No/28207/Product.aspx,,,,,
Musical,Wicked Little Town,Stephen Trask,★★★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/28210/Product.aspx,,,,,
Musical,If I Can't Love Her (From Beauty and the Beast),"Alan Menken, Tim Rice",★★★★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/16279/Product.aspx,,,,,
70s,Just The Way You Are,Billy Joel,★★★★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/18271/Product.aspx,,,,,
,Wonderful Tonight,Eric Clapton,,0,https://www.sheetmusicdirect.com/en-US/se/ID_No/54425/Product.aspx,,,,,
,Wicked Game,Chris Isaak,★★,0,https://www.sheetmusicdirect.com/en-US/se/ID_No/33803/Product.aspx,,,,,
,Ribbon in the Sky,Stevie Wonder,★★★★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/22283/Product.aspx,,,,,
,All In Love Is Fair,Stevie Wonder,★★ needs practice,,https://www.sheetmusicdirect.com/en-US/se/ID_No/26573/Product.aspx,,,,,
,Lately,Stevie Wonder,★★ needs practice,,https://www.sheetmusicdirect.com/en-US/se/ID_No/113479/Product.aspx,,,,,
,If It's Magic,Stevie Wonder,★★★★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/21923/Product.aspx,,,,,
